actual,predicted,residuals,abs_error,percentage_error
0.47714472,0.41926956,0.057875156,0.057875156,12.129477
0.32052073,0.30499545,0.015525281,0.015525281,4.843768
0.5040203,0.44283462,0.061185658,0.061185658,12.139523
0.4584913,0.40421268,0.054278612,0.054278612,11.838527
0.38012397,0.34874165,0.031382322,0.031382322,8.255813
0.21252364,0.21176016,0.0007634759,0.0007634759,0.3592428
0.21425885,0.21274212,0.0015167296,0.0015167296,0.7078958
0.019924462,0.10095246,-0.081028,0.081028,406.67578
0.28210208,0.27303988,0.009062201,0.009062201,3.2123833
0.37136748,0.3432036,0.02816388,0.02816388,7.5838304
0.16267696,0.17949076,-0.0168138,0.0168138,10.335697
0.12935302,0.15625349,-0.02690047,0.02690047,20.796165
0.26560265,0.25265974,0.01294291,0.01294291,4.873035
0.31530482,0.3017395,0.013565302,0.013565302,4.302282
0.3464391,0.3263631,0.020076007,0.020076007,5.79496
0.18503109,0.19429898,-0.009267896,0.009267896,5.0088315
0.59648335,0.5258765,0.07060683,0.07060683,11.837184
0.23528425,0.22329926,0.011984989,0.011984989,5.0938334
0.43598863,0.38720557,0.048783064,0.048783064,11.189068
0.035735972,0.10625869,-0.07052272,0.07052272,197.34372
0.1125451,0.14537309,-0.03282799,0.03282799,29.168737
0.3699947,0.34238377,0.027610928,0.027610928,7.46252
0.45769462,0.4036016,0.054093033,0.054093033,11.818586
0.17788896,0.18959464,-0.011705682,0.011705682,6.5803304
0.27300847,0.25973034,0.013278127,0.013278127,4.8636317
0.2746849,0.2621628,0.012522101,0.012522101,4.558715
0.21702826,0.21423428,0.0027939826,0.0027939826,1.2873818
0.20506454,0.20732252,-0.0022579879,0.0022579879,1.1011108
0.1441924,0.16645466,-0.02226226,0.02226226,15.439274
0.4251485,0.37937036,0.045778126,0.045778126,10.767562
0.5388873,0.47276783,0.06611949,0.06611949,12.269631
0.16911751,0.1838595,-0.014741987,0.014741987,8.717008
0.38034242,0.34887263,0.031469792,0.031469792,8.274069
0.5468962,0.47952008,0.06737614,0.06737614,12.31973
0.29464954,0.2909721,0.0036774278,0.0036774278,1.2480683
0.20945834,0.21001229,-0.00055395067,0.00055395067,0.26446816
0.15323897,0.17297432,-0.019735351,0.019735351,12.878805
0.44170228,0.39144298,0.050259292,0.050259292,11.378546
0.09543506,0.13483071,-0.039395653,0.039395653,41.28006
0.17330237,0.18659712,-0.013294756,0.013294756,7.671422
0.10060735,0.13791433,-0.03730698,0.03730698,37.08176
0.19059817,0.1979749,-0.0073767304,0.0073767304,3.8703046
0.5695908,0.49991202,0.06967878,0.06967878,12.2331295
0.044232924,0.10950491,-0.06527199,0.06527199,147.56424
0.3452685,0.32533404,0.019934446,0.019934446,5.773607
0.2842496,0.27622467,0.008024931,0.008024931,2.8231986
0.12681279,0.15462396,-0.02781117,0.02781117,21.930885
0.54734516,0.47992212,0.067423046,0.067423046,12.318195
0.22958979,0.22062933,0.008960456,0.008960456,3.9028108
0.38352007,0.35094362,0.03257644,0.03257644,8.494064
0.3905379,0.3555352,0.03500268,0.03500268,8.962684
0.3700633,0.34241515,0.02764815,0.02764815,7.4711947
0.58408123,0.5135559,0.07052535,0.07052535,12.074578
0.44553384,0.39427662,0.051257223,0.051257223,11.504676
0.16774328,0.18291879,-0.0151755065,0.0151755065,9.046863
0.16168712,0.17880517,-0.017118052,0.017118052,10.587146
0.197081,0.20224154,-0.0051605403,0.0051605403,2.618487
0.29862258,0.29225284,0.00636974,0.00636974,2.1330404
0.13755743,0.16174152,-0.024184093,0.024184093,17.581085
0.54757446,0.4801227,0.067451775,0.067451775,12.318283
0.015840722,0.09975344,-0.083912715,0.083912715,529.7275
0.5945406,0.5238894,0.07065117,0.07065117,11.883322
0.37028807,0.34254894,0.027739137,0.027739137,7.491232
0.050593454,0.11223453,-0.06164108,0.06164108,121.836044
0.0712846,0.12182021,-0.05053561,0.05053561,70.89274
0.5527357,0.48467806,0.06805763,0.06805763,12.31287
0.18536322,0.19455329,-0.009190068,0.009190068,4.9578695
0.3276481,0.3105659,0.017082214,0.017082214,5.2135854
0.109093875,0.14322697,-0.03413309,0.03413309,31.287813
0.38996166,0.35514104,0.034820616,0.034820616,8.929241
0.48984507,0.43025705,0.059588015,0.059588015,12.164666
0.3317536,0.31394157,0.017812043,0.017812043,5.3690577
0.59486914,0.52422124,0.070647895,0.070647895,11.876207
0.20822185,0.2092458,-0.0010239482,0.0010239482,0.49175826
0.2621572,0.24922886,0.012928337,0.012928337,4.9315205
0.089072935,0.13123688,-0.042163946,0.042163946,47.336422
0.5718186,0.50196004,0.06985855,0.06985855,12.2169075
0.13732019,0.16156933,-0.024249136,0.024249136,17.658827
0.50435895,0.44308072,0.061278224,0.061278224,12.149725
0.25864354,0.24566825,0.01297529,0.01297529,5.0166693
0.41880643,0.3748564,0.04395002,0.04395002,10.494113
0.56172705,0.49263552,0.06909153,0.06909153,12.29984
0.25293764,0.23690003,0.016037613,0.016037613,6.3405404
0.30362687,0.29400653,0.009620339,0.009620339,3.1684742
0.52823734,0.46409187,0.064145476,0.064145476,12.143306
0.47571847,0.4180541,0.057664365,0.057664365,12.1215315
0.5142553,0.4520737,0.062181592,0.062181592,12.09158
0.4599622,0.40534765,0.054614544,0.054614544,11.873703
0.07552733,0.12395993,-0.048432596,0.048432596,64.125916
0.28943917,0.2840024,0.005436778,0.005436778,1.8783835
0.3193713,0.30429357,0.01507774,0.01507774,4.721069
0.52586335,0.4621135,0.06374985,0.06374985,12.122892
0.44377145,0.39298293,0.05078852,0.05078852,11.444748
0.37140018,0.34323436,0.028165817,0.028165817,7.5836844
0.5172381,0.45483655,0.062401533,0.062401533,12.064373
0.20189178,0.20531556,-0.0034237802,0.0034237802,1.6958492
0.27126682,0.2581479,0.013118923,0.013118923,4.8361692
0.510894,0.4490086,0.061885387,0.061885387,12.113156
0.48518023,0.4262299,0.058950335,0.058950335,12.150193
0.48420918,0.42535335,0.05885583,0.05885583,12.155043
0.5439593,0.47700882,0.0669505,0.0669505,12.307998
0.2675552,0.2545707,0.012984514,0.012984514,4.8530226
0.2776455,0.26651615,0.0111293495,0.0111293495,4.0084743
0.43473592,0.38627827,0.048457652,0.048457652,11.146457
0.014232199,0.09924324,-0.08501104,0.08501104,597.31445
0.06109092,0.11686477,-0.05577385,0.05577385,91.29645
0.13279174,0.1585654,-0.02577366,0.02577366,19.40908
0.5392912,0.4730957,0.06619552,0.06619552,12.274541
0.5693157,0.49964118,0.06967449,0.06967449,12.238288
0.2787071,0.26807183,0.010635257,0.010635257,3.8159263
0.2248313,0.21828052,0.006550774,0.006550774,2.9136395
0.05373654,0.11360575,-0.05986921,0.05986921,111.41245
0.567001,0.4974617,0.06953928,0.06953928,12.264401
0.34985983,0.32937443,0.020485401,0.020485401,5.8553166
0.28498435,0.27728948,0.0076948702,0.0076948702,2.7001028
0.14620781,0.16782907,-0.021621257,0.021621257,14.78803
0.2423332,0.2263677,0.015965506,0.015965506,6.5882454
0.22793107,0.21983235,0.0080987215,0.0080987215,3.553145
0.16998577,0.18445581,-0.014470041,0.014470041,8.512501
0.14761588,0.16885908,-0.0212432,0.0212432,14.3908615
0.16261338,0.17940786,-0.016794488,0.016794488,10.327863
0.4760374,0.41826347,0.057773948,0.057773948,12.136431
0.17562746,0.18813732,-0.012509868,0.012509868,7.1229563
0.33976078,0.3206392,0.019121587,0.019121587,5.627956
0.24404459,0.227085,0.016959593,0.016959593,6.9493823
0.14224356,0.16508344,-0.022839874,0.022839874,16.056875
0.29976907,0.29261515,0.0071539283,0.0071539283,2.3864799
0.20140105,0.20497675,-0.0035756975,0.0035756975,1.7754114
